117,용산구,콩나물국밥 시루향기 24시 횡단보도앞,콩나물국밥 시루향기 앞,"37.531685, 126.970022"
118,용산구,청파로 250(남영역03-230버스정류장옆)앞 횡단보도,건축자재백화점 횡단보도 옆,"37.541861, 126.970974"
121,용산구,녹사평역 3번 출구 앞(직진3미터횡단보도앞),녹사평역 3번 출구 앞,"37.534376, 126.987102"
123,용산구,이태원입구(수지스건너편) 공중화장실앞,공중화장실 앞 횡단보도,"37.534260, 126.988929"
125,용산구,이태원버스정류장(03-189) 아디다스 OFS점 앞,아디다스 매장 앞,"37.534123, 126.990022"
127,용산구,이태원버스정류장(03-188),"버스정류장(용산구청,이태원시장) 옆","37.534389, 126.990463"
129,용산구,국제아케이드건물 앞 횡단보도,국제아케이드건물 앞 횡단보도 옆,"37.534147, 126.990439"
131,용산구,ABC마트(신발가게)앞,ABC마트 앞,"37.534447, 126.991672"
133,용산구,OK 쇼핑 왕발전문점앞 횡단보도,왕발전문매장 횡단보도 옆,"37.534250, 126.992073"
135,용산구,해밀턴호텔 버스정류장(03-190),"버스정류장(이태원역1번출구,해밀턴호텔) 옆","37.534541, 126.993012"
137,용산구,이태원역 2번 출구 (해밀턴호텔정문앞횡단보도),해밀턴호텔 정문 앞 횡단보도,"37.534544, 126.993980"
139,용산구,이태원역 3번 출구 (올리브영 횡단보도앞),이태원역 3번 출구 뒤 횡단보도,"37.534376, 126.994105"
141,용산구,이태원소방서건너편사거리 뉴욕콜롬비아치과앞 횡단보도,이태원소방서 사거리 횡단보도,"37.534668, 126.995392"
143,용산구,이태원 119 안전센타 버스정류장(03-192),버스정류장(이태원119안전센터) 옆,"37.534739, 126.996539"
145,용산구,제일기획실앞 횡단보도,제일기획 앞 횡단보도,"37.535019, 126.998642"
147,용산구,시화담그릴(이태원로254(한남동683-130)앞,시화담그릴 앞,"37.537242, 127.001015"
149,용산구,삼성미술관 리움 택시정류장(폭스바겐건너편),폭스바겐 건너편 택시정류장 옆,"37.537971, 127.001272"
151,용산구,이태원광장 녹사평역방향 횡단보도(좌측),관광경찰 건물 옆 횡단보도,"37.533958, 126.988540"
153,용산구,용산구청 셔틀버스 정류장,용산구청 용산아트홀 앞,"37.532592, 126.989603"
155,용산구,보광동입구(한국폴리텍1대학방면) 버스정류장(03-283),보광동입구(한국폴리텍1대학방면) 버스정류장,"37.533686, 126.994101"
157,용산구,한강진역 블루스퀘어 버스정류장(03-197),한강진역 2번출구 앞,"37.540765, 127.001997"
159,용산구,순천향대학병원(블루스퀘어방면) 버스정류장(03-162),순천향대학병원(블루스퀘어방면) 버스정류장,"37.536462, 127.005690"
161,용산구,순천향대학병원(서초IC방면) 버스정류장(03-164),순천향대학병원(서초IC방면) 버스정류장,"37.535708, 127.005589"
167,용산구,한남오거리 하나은행앞 횡단보도,한남오거리 하나은행앞 횡단보도,"37.533429, 127.007248"
169,용산구,"한강대교북단(신용산방면) 중앙버스정류장(도심,03-001)",한강대교북단 버스중앙차로 정류장 (신용산방면) ,"37.524037, 126.963067"
170,용산구,"한강대교북단(노들섬방면) 중앙버스정류장(외곽,03-002)",한강대교북단 버스중앙차로 정류장 (노들섬방면) ,"37.524406, 126.963331"
171,용산구,"신용산역(KT용산지사방면) 중앙버스정류장(도심, 03-003)",신용산역 버스중앙차로 정류장 (서울역방면),"37.527151, 126.966005"
172,용산구,"신용산역(한강대교북단방면) 중앙버스정류장(외곽,03-004)",신용산역 버스중앙차로 정류장 (한강대교북단방면),"37.528092, 126.966820"
175,용산구,"삼각지(숙대입구방면) 중앙버스정류장(도심,03-007)",삼각지역 버스중앙차로 정류장 (서울역방면),"37.535087, 126.973533"
176,용산구,"삼각지(KT용산지사방면) 중앙버스정류장(외곽,03-008)",삼각지역 버스중앙차로 정류장 (신용산역방면),"37.536009, 126.974175"
179,용산구,"숙명여대(갈월동방면) 중앙버스정류장(도심,03-009)",숙대입구역 버스중앙차로 정류장 (서울역방면),"37.543230, 126.972528"
